Match_ID,Match_Date,Match,Winner,Loser,WinLoss,Championship_Match,Promotion,Match_Type,Stipulation,Event,Event_Name,Event_Type
1710,2013-03-16,"John Cena, Ryback & Sheamus vs The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)","John Cena, Ryback & Sheamus","The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1709,2013-03-15,"John Cena, Ryback & Sheamus vs The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)","John Cena, Ryback & Sheamus","The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1708,2013-03-11,"John Cena & Ryback vs The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",John Cena & Ryback,"The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",Win,Exhibition,WWE,2 vs 3 Handicap Match,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1707,2013-03-10,"John Cena, Ryback & Sheamus vs The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)","John Cena, Ryback & Sheamus","The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1706,2013-03-09,"John Cena, Ryback & Sheamus vs The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)","John Cena, Ryback & Sheamus","The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1705,2013-03-08,"John Cena & Ryback vs The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",John Cena & Ryback,"The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",Win,Exhibition,WWE,2 vs 3 Handicap Match,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1704,2013-03-04,"John Cena, Ryback & Sheamus vs The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)","John Cena, Ryback & Sheamus","The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1703,2013-03-03,"John Cena, Ryback & Sheamus vs The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)","John Cena, Ryback & Sheamus","The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1702,2013-03-02,"John Cena, Ryback & Sheamus vs The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)","John Cena, Ryback & Sheamus","The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1701,2013-03-01,John Cena & Ryback vs The Shield (Dean Ambrose & Seth Rollins),John Cena & Ryback,The Shield (Dean Ambrose & Seth Rollins),Win,Exhibition,WWE,2 vs 3 Handicap Match,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1700,2013-02-25,John Cena vs CM Punk,John Cena,CM Punk,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
